"feature","mean_of_mean_abs_shap","sd_of_mean_abs_shap","min_mean_abs_shap","max_mean_abs_shap","min_rank","max_rank","mean_rank_range"
"Anxiety_total_score",0.164865698974648,0.00739124686678392,0.154316870248965,0.174955794370751,1,1,1
"Depressive_symptoms_total_score",0.118272249659811,0.00300645153990278,0.112280018229456,0.121325695083714,2,3,2.5
"Drowsiness_total_score",0.12232971068097,0.00233035380357693,0.119716455987392,0.12602272182223,2,3,2.5
"AHI",0.0345786409252891,0.0014458446891332,0.0327057163032382,0.0367004909430707,4,4,4
"Coffee_consumption",0.0145998482331721,0.000919888702934443,0.0129494173849928,0.0160565249683352,5,6,5.5
"Stress_total_score",0.0142877626719506,0.00106984654382274,0.0122142938590313,0.0153256911973398,5,6,5.5
"MSaO2",0.010150617840049,0.000413657447271624,0.00967072396573073,0.0107197465682632,7,8,7.5
"Sports_status",0.0100487269810089,0.00075879815562633,0.00894665643880395,0.0109631648064793,7,9,8
"Sleep_quality_total_score",0.00958208533952148,0.000379792233727558,0.00920144772478517,0.0103604318682709,8,9,8.5
